fileName,modelIsValidBPMN,modelTNT,modelTNCS,modelTNA,modelTNDO,modelTNG,modelTNEE,modelTNIE,modelTNSE,modelTNE,modelTNSF,modelNP,modelNL,modelCLA,modelCLP,modelPDOPin,modelPDOPout,modelPDOTOut,modelPLT,tapeGU,tapeALU,tapeRLU,tapeLUB,tapeAvgLUB,tapeDI,tapeDD,tapeAvgDI,tapeAvgDD,tapeMI,tapeMD,tapeAvgMI,tapeAvgMD,tapeExecutionTimeMs
05108.bpmn,false,15,0,0,0,3,1,5,5,1,24,1,3,0,3,0,0,0,0,172,172,1,0,0,0,0,0,0,1,1,1,1,19.671885000076145
05109.bpmn,false,9,0,0,1,2,2,3,3,2,18,2,3,0,3,0,1,0.1111111111111111,0,123,61.5,"0.5609756097560976,0.43902439024390244","0.060975609756097615,-0.06097560975609756",2.7755575615628914e-17,"0,0","0,0",0,0,"1,1","1,1",1,1,25.461741999955848
05110.bpmn,false,16,0,0,0,6,3,0,0,1,26,1,3,0,6,0,0,0,0,182,182,1,0,0,0,0,0,0,1,1,1,1,19.5716029999312
05111.bpmn,false,4,0,0,0,1,2,0,0,1,7,0,0,0,0,0,0,0,0,0,0,,,0,,,0,0,,,0,0,6.682665999978781
05112.bpmn,false,9,0,0,1,3,2,3,3,3,19,2,3,0,3,0,1,0.1111111111111111,0,134,67,"0.5970149253731343,0.40298507462686567","0.09701492537313428,-0.09701492537313433",-2.7755575615628914e-17,"0,0","0,0",0,0,"1,1","1,1",1,1,29.199820999987423
05113.bpmn,false,8,0,0,0,0,2,0,0,2,10,2,0,0,2,0,0,0,0,94,47,"0.5,0.5","0,0",0,"0,0","0,0",0,0,"1,1","1,1",1,1,11.796787000028417
05114.bpmn,false,9,0,0,1,2,2,3,3,2,18,2,3,0,3,0,1,0.1111111111111111,0,123,61.5,"0.5609756097560976,0.43902439024390244","0.060975609756097615,-0.06097560975609756",2.7755575615628914e-17,"0,0","0,0",0,0,"1,1","1,1",1,1,17.85583800007589
05115.bpmn,false,8,0,0,0,2,3,3,3,1,15,3,0,0,2.6666666666666665,0,0,0,0,133,44.333333333333336,"0.15037593984962405,0.6541353383458647,0.19548872180451127","-0.18295739348370926,0.32080200501253137,-0.13784461152882205",1.850371707708594e-17,"0,0,0","0,0,0",0,0,"1,2,1","1,2,1",1.3333333333333333,1.3333333333333333,15.073915000073612
05116.bpmn,false,14,0,0,0,1,2,0,0,1,15,2,2,0,2,0,0,0,0,117,58.5,"0.3076923076923077,0.6923076923076923","-0.1923076923076923,0.1923076923076923",0,"0,0","0,0",0,0,"1,1","1,1",1,1,14.205794000066817
05117.bpmn,false,5,0,0,0,1,0,2,2,1,7,1,2,0,0,0,0,0,0,0,0,,,0,,,0,0,,,0,0,10.000459000002593
05118.bpmn,false,8,0,0,0,0,2,0,0,2,10,3,0,0,1.3333333333333333,0,0,0,0,0,0,,,0,,,0,0,,,0,0,10.517760999966413
05119.bpmn,false,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,,,0,,,0,0,,,0,0,4.173116999911144
05120.bpmn,false,10,0,0,0,7,3,0,0,1,21,1,2,0,2,0,0,0,0,139,139,1,0,0,0,0,0,0,1,1,1,1,29.462548000039533
05121.bpmn,false,8,0,0,0,2,3,2,2,1,13,1,3,0,4,0,0,0,0,119,119,1,0,0,0,0,0,0,1,1,1,1,12.755750000011176
05122.bpmn,false,4,0,0,0,1,2,0,0,1,7,0,0,0,0,0,0,0,0,0,0,,,0,,,0,0,,,0,0,9.615361999953166
05123.bpmn,false,6,0,0,0,2,0,0,0,1,6,3,0,0,0,0,0,0,0,0,0,,,0,,,0,0,,,0,0,8.4319770000875
05124.bpmn,false,8,0,0,0,0,2,0,0,2,10,2,0,0,2,0,0,0,0,94,47,"0.5,0.5","0,0",0,"0,0","0,0",0,0,"1,1","1,1",1,1,12.776894999900833
05125.bpmn,false,5,0,0,0,1,0,0,0,3,4,3,0,0,0.6666666666666666,0,0,0,0,46,15.333333333333334,"0.391304347826087,0.5217391304347826,0.08695652173913043","0.05797101449275366,0.18840579710144928,-0.24637681159420288",1.850371707708594e-17,"0,0,0","0,0,0",0,0,"1,1,0","1,0,1",0.6666666666666666,0.6666666666666666,9.168434999883175
05126.bpmn,false,7,0,2,0,3,3,4,4,1,18,2,2,0.1111111111111111,3.5,0,0,0,1,130,65,"0.13846153846153847,0.8615384615384616","-0.36153846153846153,0.3615384615384616",2.7755575615628914e-17,"0,0","0,0",0,0,"1,2","1,2",1.5,1.5,27.888241000007838
